,Result,Time(ms),
P1,10089,611,
P2,9063,541,
P3,11186,478,
P4,12610,480,
P5,10380,468,
P6,9415,441,
P7,11077,453,
P8,13045,440,
P9,9896,499,
P10,8946,474,
P11,10474,492,
P12,11703,499,
P13,10281,611,
P14,9266,611,
P15,10719,633,
P16,12103,605,
P17,9910,609,
P18,9959,651,
P19,10770,637,
P20,12192,654,
P21,10165,644,
P22,8688,638,
P23,10757,642,
P24,11772,628,
P25,14061,1037,
P26,16074,1083,
P27,24501,1137,
P28,23412,1103,
P29,23487,1103,
P30,17657,1020,
P31,24250,1125,
P32,23478,1024,
P33,19706,1135,
P34,16689,1045,
P35,23384,1120,
P36,27245,1013,
P37,18689,1133,
P38,12657,1074,
P39,20566,1149,
P40,23032,1112,
P41,9304,575,
P42,7453,729,
P43,6984,833,
P44,12584,554,
P45,10518,726,
P46,10501,775,
P47,12873,542,
P48,11553,692,
P49,8614,842,
P50,9519,606,
P51,9826,806,
P52,15747,578,
P53,16071,729,
P54,15362,579,
P55,12251,733,
P56,48786,1193,
P57,61323,1147,
P58,73428,1108,
P59,60844,1238,
P60,53694,1147,
P61,51388,1294,
P62,72194,1279,
P63,58072,1139,
P64,45921,1299,
P65,53459,1286,
P66,68819,1129,
P67,57937,1280,
P68,43390,1281,
P69,54827,1087,
P70,73275,1282,
P71,58456,1282,
