,Result,Time(ms),
P1,18076,0,
P2,12899,0,
P3,18441,0,
P4,22698,0,
P5,17665,0,
P6,12930,0,
P7,20782,0,
P8,23191,0,
P9,15685,0,
P10,11172,0,
P11,20501,0,
P12,21717,0,
P13,15862,1,
P14,12419,0,
P15,16778,0,
P16,23752,0,
P17,15009,0,
P18,12005,0,
P19,18851,0,
P20,22479,0,
P21,15252,0,
P22,11524,0,
P23,17018,0,
P24,22259,0,
P25,16138,1,
P26,17971,0,
P27,18773,0,
P28,31410,0,
P29,20183,0,
P30,17967,1,
P31,27093,0,
P32,29403,0,
P33,15748,0,
P34,17622,0,
P35,17141,1,
P36,22775,0,
P37,15494,0,
P38,15195,0,
P39,17114,0,
P40,24008,0,
P41,13322,0,
P42,13186,0,
P43,11322,0,
P44,18596,0,
P45,15745,0,
P46,14002,0,
P47,16260,0,
P48,14677,0,
P49,13144,0,
P50,18461,0,
P51,18100,0,
P52,24136,0,
P53,21676,0,
P54,21101,0,
P55,17872,0,
P56,59819,0,
P57,79894,0,
P58,91094,0,
P59,84510,0,
P60,60131,0,
P61,77549,0,
P62,85249,0,
P63,75604,0,
P64,53376,0,
P65,77373,0,
P66,82973,0,
P67,73860,0,
P68,57529,0,
P69,75376,0,
P70,82376,0,
P71,80202,0,
