,Result,Time(ms),
P1,9969,1078,
P2,8917,538,
P3,10700,893,
P4,12365,614,
P5,9914,1301,
P6,8962,749,
P7,10764,766,
P8,12626,1048,
P9,9740,446,
P10,8848,398,
P11,10303,403,
P12,11703,400,
P13,9396,499,
P14,7970,459,
P15,9836,583,
P16,12856,560,
P17,8828,506,
P18,8168,527,
P19,10594,612,
P20,12253,557,
P21,8947,455,
P22,7877,420,
P23,10401,468,
P24,11685,463,
P25,12936,3222,
P26,11497,3166,
P27,14224,3064,
P28,16391,3205,
P29,13180,3279,
P30,11573,3216,
P31,14771,3199,
P32,17230,3198,
P33,13742,2962,
P34,11347,3042,
P35,14234,3007,
P36,17004,3016,
P37,12494,2937,
P38,11510,2963,
P39,14129,2962,
P40,16410,2976,
P41,8745,2671,
P42,7410,1011,
P43,6919,816,
P44,12003,14809,
P45,10521,1197,
P46,8106,812,
P47,12897,12329,
P48,10517,1603,
P49,8419,943,
P50,8732,11878,
P51,8112,1786,
P52,14682,40256,
P53,12369,2083,
P54,14071,77759,
P55,11183,1867,
P56,26939,5537,
P57,34521,5586,
P58,53304,5422,
P59,40200,5757,
P60,26887,5450,
P61,35374,5435,
P62,49205,5564,
P63,41470,5510,
P64,26333,5757,
P65,34106,5433,
P66,55470,5527,
P67,40396,5746,
P68,27461,5507,
P69,34715,5597,
P70,52864,5627,
P71,39657,5437,
